SITE ID,Lat,long,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME
40418,41.708,-72.206,27 Park St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30329,41.706,-72.2,217 Windham Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20521,41.718,-72.213,118 Chestnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20959,41.717,-72.215,150 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20317,41.716,-72.193,348 Bricktop Rd,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31053,41.7,-72.21,327 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10069,41.72,-72.201,169 Ash St.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20009,41.713,-72.203,263 Main St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31334,41.707,-72.208,190 S Park St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
30813,41.709,-72.2,30 Potter St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21177,41.716,-72.201,64 Elm Street,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10781,41.714,-72.227,25 Wilson St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30877,41.709,-72.216,280 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30950,41.71,-72.222,430 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10197,41.72,-72.201,167 Ash St.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21345,41.717,-72.209,100 Summit St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30686,41.71,-72.217,311 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31473,41.707,-72.201,215 Windham Rd,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30786,41.706,-72.2,255 Windham Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21191,41.718,-72.214,206 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20931,41.72,-72.214,266 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20866,41.717,-72.204,255 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21102,41.719,-72.212,207 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10031,41.725,-72.202,554 Jackson St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30440,41.71,-72.222,434 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20097,41.723,-72.204,335 Ash St.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31012,41.708,-72.21,47 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20790,41.717,-72.214,175 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21167,41.718,-72.213,222 Lewiston Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10245,41.721,-72.201,41 Gordon Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
40399,41.715,-72.214,79 Spring St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10907,41.724,-72.201,537 Jackson St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30610,41.71,-72.219,366 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30211,41.708,-72.201,14 Potter St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31177,41.71,-72.223,468 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10283,41.718,-72.223,163 Mansfield Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20484,41.711,-72.207,129 Union St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21245,41.714,-72.211,82 Maple Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
11008,41.716,-72.235,82 Columbia Ave,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
20087,41.717,-72.207,118 Oak St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21429,41.718,-72.209,103 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30986,41.708,-72.212,47 John St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30612,41.71,-72.212,175 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20078,41.716,-72.191,324 Bricktop Rd,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20600,41.723,-72.205,340 Ash St.,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
40320,41.715,-72.217,245 Valley St  Beckertt Hall,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
30688,41.708,-72.207,37 West Park St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31553,41.708,-72.211,50 John St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20761,41.717,-72.218,347 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20289,41.717,-72.207,119 Oak St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20492,41.715,-72.224,410 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10874,41.72,-72.205,33 Bolivia St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21352,41.716,-72.214,28 Chestnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20794,41.715,-72.209,17 - 19 Turner St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20520,41.718,-72.211,215 North St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21369,41.718,-72.208,89 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10640,41.718,-72.221,437 Prospect St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21432,41.717,-72.217,164 High St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21322,41.719,-72.215,283 Lewiston Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31169,41.711,-72.219,44 Mountain St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20670,41.718,-72.214,210 Walnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31427,41.708,-72.201,10 Potter St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31348,41.713,-72.21,57 Valley St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
31082,41.705,-72.209,134 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31557,41.709,-72.217,3-5 Willard St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31186,41.71,-72.221,411 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20729,41.715,-72.208,58 Prospect St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30491,41.706,-72.21,96 South St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20935,41.719,-72.21,262 Church St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21360,41.722,-72.216,331 High St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31489,41.71,-72.219,61 Mountain St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20648,41.716,-72.214,125 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20273,41.719,-72.196,55 Boston Post Rd.,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
21068,41.714,-72.191,305 Bricktop Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30932,41.71,-72.221,414 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30101,41.705,-72.201,49 Seldon St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20846,41.718,-72.21,249 Church St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30795,41.708,-72.21,25 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20882,41.715,-72.216,237 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20311,41.724,-72.204,18 Anthony St.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30794,41.708,-72.211,54 John St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20771,41.716,-72.206,33-35 Hewitt St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20314,41.717,-72.214,168 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20482,41.715,-72.216,138 Spring St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10878,41.716,-72.236,94 Columbia Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20017,41.715,-72.212,33 Spring St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20697,41.722,-72.203,295 Ash St.,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20405,41.714,-72.191,309 Bricktop Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30327,41.708,-72.211,97 So Park St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20865,41.715,-72.203,86 Chapman St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30163,41.707,-72.201,11 Potter St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21275,41.714,-72.209,14 Turner St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20549,41.718,-72.204,293 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20049,41.714,-72.211,126 Church St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21150,41.717,-72.207,120 Oak St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30071,41.709,-72.21,126 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20437,41.717,-72.204,271 Jackson St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20109,41.717,-72.213,65 Chestnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10665,41.724,-72.202,509 Jackson Street,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20321,41.719,-72.21,165 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20008,41.716,-72.21,185 Church St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31435,41.713,-72.225,16 Winter St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20048,41.714,-72.21,12 Bellevue Street,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31527,41.709,-72.22,394 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20420,41.716,-72.223,387 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30284,41.704,-72.21,157 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20409,41.718,-72.208,93 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21127,41.716,-72.192,332 Bricktop Rd,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20544,41.719,-72.213,231 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30736,41.707,-72.206,52 Park St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30183,41.708,-72.205,71 Windham Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20277,41.711,-72.208,102 - 104 Union St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20715,41.717,-72.217,305 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20104,41.714,-72.208,10 Maple Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30257,41.708,-72.218,32 Hayden St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20740,41.719,-72.213,227 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20413,41.714,-72.207,18 -22 Spruce St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20719,41.718,-72.206,63 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30856,41.709,-72.211,144 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20929,41.716,-72.219,90 Windham St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31545,41.71,-72.219,55 Mountain St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
40511,41.717,-72.217,315 Prospect Street,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30060,41.706,-72.21,98 South St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20606,41.715,-72.211,139 Church St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30733,41.71,-72.218,334 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20035,41.717,-72.206,25 Summit St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30442,41.705,-72.201,129 Grove St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
40397,41.714,-72.208,7 Oak St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21585,41.715,-72.221,336 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21331,41.719,-72.206,139 Oak St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20055,41.718,-72.216,185 High St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20685,41.714,-72.213,30 Pearl St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30462,41.708,-72.211,101 So Park St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31552,41.709,-72.21,127 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30941,41.705,-72.21,121 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21154,41.717,-72.215,154 Walnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20580,41.719,-72.206,33 Carey St,Windham,Ct,Lead,Res/Cc,Ct1630011,Windham Water Works
20430,41.716,-72.214,227 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10529,41.717,-72.223,492 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30943,41.708,-72.202,14 Godfrey St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21128,41.716,-72.213,49 Chestnut St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
10385,41.717,-72.224,99 Mansfield Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20635,41.716,-72.215,114 Walnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21367,41.718,-72.209,102 Lewiston Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21023,41.717,-72.216,283 Prospect St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20675,41.716,-72.22,80 Tingley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10506,41.723,-72.202,485 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20644,41.719,-72.214,236 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20988,41.715,-72.191,318 Bricktop Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20348,41.716,-72.202,123 Chapman St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20421,41.719,-72.215,215 High St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10188,41.718,-72.224,140 Mansfield Ave,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
10880,41.72,-72.201,171 Ash St.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30985,41.708,-72.212,55 So Park St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20700,41.717,-72.213,64 Chestnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30506,41.713,-72.224,28 Arnolds La.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30483,41.706,-72.201,153 Fairview St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30912,41.714,-72.225,1197 Main St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
21042,41.714,-72.216,240 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
30141,41.71,-72.215,279 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20457,41.715,-72.207,36 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30632,41.705,-72.208,41 Gifford Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10196,41.719,-72.223,173 Mansfield Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31350,41.71,-72.218,337 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
